TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
25/04/2020,24,Osona,08298,Vic,0,Home,Positiu,1
25/04/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Positiu,1
25/04/2020,10,Baix Empordà ,17118,Palamós,1,Dona,Positiu,1
25/04/2020,21,Maresme,08118,El Masnou,1,Dona,Positiu,1
25/04/2020,27,Pla d'Urgell,25248,Vilanova de Bellpuig,1,Dona,Positiu,1
25/04/2020,13,Barcelonès,08015,Badalona,0,Home,Positiu,1
25/04/2020,,,,(Altres municipis),1,Dona,Positiu,1
25/04/2020,11,Baix Llobregat,08200,Sant Boi de Llobregat,1,Dona,Positiu,1
25/04/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Positiu,1
25/04/2020,11,Baix Llobregat,08211,Sant Feliu de Llobregat,0,Home,Positiu,1
25/04/2020,33,Segrià ,25038,Aitona,1,Dona,Positiu,1
25/04/2020,40,Vallès Occidental,08187,Sabadell,1,Dona,Positiu,1
25/04/2020,23,Noguera,25040,Balaguer,1,Dona,Positiu,1
25/04/2020,34,Selva,17103,Maçanet de la Selva,1,Dona,Positiu,1
25/04/2020,13,Barcelonès,08019,Barcelona,0,Home,Positiu,3
25/04/2020,13,Barcelonès,08019,Barcelona,1,Dona,Positiu,10
24/04/2020,07,Bages,08053,Castellbell i el Vilar,1,Dona,Sospitós,1
24/04/2020,30,Ribera d'Ebre,43093,Móra d'Ebre,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08904,Badia del Vallès,1,Dona,Sospitós,1
24/04/2020,24,Osona,08067,Centelles,1,Dona,Sospitós,4
24/04/2020,04,Alt Urgell,25203,La Seu d'Urgell,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08006,Arenys de Mar,0,Home,Sospitós,2
24/04/2020,24,Osona,08171,Prats de Lluçanès,0,Home,Sospitós,2
