"Titularidad","Nombre","Dirección","CP","Municipio","Teléfono","Plazas","URL","Latitud","Longitud","Actualizado","Provincia"
"Privada","Residencia Ribera Alta","NA Caicedo - Sopeña 36","01420","Erriberagoitia/Ribera Alta","945 36 20 58 / 627 49 97 97 / 627 49 97 82",24,"www.residenciariberaalta.com",42.785882,-2.916915,"4-04-20 00:14:44","Álava"
"Pública provincial","Residencia pscogeriátrica Lakua","Calle Orio 2 - 4","01010","Vitoria-Gasteiz","945 17 82 27",50,NA,42.865083,-2.69311,"10-04-20 00:14:44","Álava"
"Privada","Residencia Burgelu","Avenida Burgelu 24","01192","Elburgo/Burgelu","658 74 08 19 / 945 40 06 86",31,"www.actiweb.es/burgelu/",42.849456,-2.544482,"4-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Florida Etxea","Calle Manuel Iradier 33 - 1º","01005","Vitoria-Gasteiz","945 20 43 03",14,NA,42.841876,-2.668397,"14-02-20 00:14:44","Álava"
"Privada","La Saleta Albertia","NA Miñano Mayor 23","01510","Vitoria-Gasteiz","945 12 44 25",91,"www.albertiaetxea.com",42.917257,-2.64551,"30-04-20 00:14:44","Álava"
"Privada","Residencia Albertia Centro","Calle Vicente Goicoechea 15","01008","Vitoria-Gasteiz","945 14 64 44",49,NA,42.847136,-2.676486,"3-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria El Manantial","Calle Rubina 7","01230","Iruña Oka/Iruña de Oca","945 36 15 64",14,"residenciaelmanantial.es",42.815496,-2.813187,"5-04-20 00:14:44","Álava"
"Privada sin fin de lucro","Residencia Purísima Concepción","Calle Domingo de Sautu 7 - bajo","01130","Zuia","945 43 00 08 / 945 46 26 16",40,NA,42.956415,-2.815592,"8-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Avenida Etxea","Avenida Gasteiz 57 - 59 1º dcha.","01008","Vitoria-Gasteiz","945 00 99 44",14,NA,42.849034,-2.681569,"18-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Garaitia 1 y 2","Calle Pío XII 7 - 3º y 4º","01400","Laudio/Llodio","946 72 34 09 / 946 72 39 58",14,NA,43.142401,-2.962764,"1-06-20 00:14:44","Álava"
"Privada sin fin de lucro","Residencia Juan Pablo I","Calle Portal de Lasarte 91","01007","Vitoria-Gasteiz","945 13 22 02",141,NA,42.829043,-2.690845,"4-04-20 00:14:44","Álava"
"Privada","Residencia Yécora","Avenida Estíbaliz 7","01311","Yécora/Iekora","945 60 11 32 / 945 62 25 06",36,"www.residenciayecora.org",42.567122,-2.468971,"9-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria","Calle Nadine Gordimer 19","01003","Vitoria-Gasteiz","945 71 68 40",14,NA,42.846568,-2.644924,"12-07-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Carema Residencial","NA Junguitu 16 A","01192","Vitoria-Gasteiz","945 29 34 20",8,"www.carema.es",42.871922,-2.596708,"3-04-20 00:14:44","Álava"
