municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/04/23 07:00:00;143;128,63;1253;1127,06;079603
Madrid-Salamanca                            ;2020/04/23 07:00:00;212;134,74;1411;896,78;079604
Madrid-Centro                               ;2020/04/23 07:00:00;222;156,09;1024;719,97;079601
Madrid-Arganzuela                           ;2020/04/23 07:00:00;231;129,48;1406;788,11;079602
Madrid-Chamartín                            ;2020/04/23 07:00:00;223;151,82;1391;947;079605
Madrid-Tetuán                               ;2020/04/23 07:00:00;312;190,85;1896;1159,79;079606
Madrid-Chamberí                             ;2020/04/23 07:00:00;262;176,45;1331;896,4;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/23 07:00:00;411;183,04;2610;1162,38;079608
Madrid-Moncloa-Aravaca                      ;2020/04/23 07:00:00;252;198,61;1122;884,27;079609
Madrid-Latina                               ;2020/04/23 07:00:00;429;171,89;2402;962,45;079610
Madrid-Carabanchel                          ;2020/04/23 07:00:00;400;162,33;2331;945,95;079611
Madrid-Usera                                ;2020/04/23 07:00:00;191;128,66;1251;842,7;079612
Madrid-Puente de Vallecas                   ;2020/04/23 07:00:00;355;138,82;2728;1066,73;079613
Madrid-San Blas - Canillejas                ;2020/04/23 07:00:00;203;146,17;1298;934,65;079620
Madrid-Barajas                              ;2020/04/23 07:00:00;54;102,5;393;746;079621
Madrid-Moratalaz                            ;2020/04/23 07:00:00;180;184,85;1202;1234,39;079614
Madrid-Ciudad Lineal                        ;2020/04/23 07:00:00;333;125,82;1971;744,74;079615
Madrid-Hortaleza                            ;2020/04/23 07:00:00;245;115,96;1574;745;079616
Madrid-Villaverde                           ;2020/04/23 07:00:00;216;135,81;1271;799,15;079617
Madrid-Villa de Vallecas                    ;2020/04/23 07:00:00;109;102,22;1114;1044,74;079618
Madrid-Vicálvaro                            ;2020/04/23 07:00:00;78;108,5;716;995,99;079619
Pozuelo de Alarcón                          ;2020/04/23 07:00:00;168;190,26;652;738,39;1150  
Alcorcón                                    ;2020/04/23 07:00:00;255;145,85;1562;893,38;0072  
Navalcarnero                                ;2020/04/23 07:00:00;23;81,48;142;503,03;0967  
San Agustín del Guadalix                    ;2020/04/23 07:00:00;18;123,6;53;363,94;1296  
Las Rozas de Madrid                         ;2020/04/23 07:00:00;139;145,02;641;668,77;1277  
Moraleja de Enmedio                         ;2020/04/23 07:00:00;;74,68;22;410,75;0894  
Valdaracete                                 ;2020/04/23 07:00:00;;0;;823,72;1551  
Pozuelo del Rey                             ;2020/04/23 07:00:00;;202,02;;404,04;1163  
Puebla de la Sierra                         ;2020/04/23 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/04/23 07:00:00;;0;7;188,02;1104  
Valdemorillo                                ;2020/04/23 07:00:00;18;148,5;44;363,01;1603  
Navalafuente                                ;2020/04/23 07:00:00;;251,89;6;755,67;0941  
Velilla de San Antonio                      ;2020/04/23 07:00:00;8;64,04;62;496,28;1678  
Villanueva de la Cañada                     ;2020/04/23 07:00:00;39;159,94;109;447,01;1760  
Villanueva del Pardillo                     ;2020/04/23 07:00:00;17;100,66;76;450;1776  
Nuevo Baztán                                ;2020/04/23 07:00:00;;30,09;28;421,24;1006  
Villamantilla                               ;2020/04/23 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/04/23 07:00:00;;187,71;11;516,19;1744  
Cabanillas de la Sierra                     ;2020/04/23 07:00:00;;0;9;1554,4;0297  
Cenicientos                                 ;2020/04/23 07:00:00;;203,98;19;968,89;0376  
Puentes Viejas                              ;2020/04/23 07:00:00;;218,82;;437,64;9020  
Aranjuez                                    ;2020/04/23 07:00:00;59;93,01;410;646,37;0133  
Cercedilla                                  ;2020/04/23 07:00:00;19;253,77;92;1228,8;0382  
Santorcaz                                   ;2020/04/23 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/04/23 07:00:00;129;145,92;759;858,57;0493  
Morata de Tajuña                            ;2020/04/23 07:00:00;7;90,12;88;1133;0915  
Robregordo                                  ;2020/04/23 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/04/23 07:00:00;;1204,82;;2409,64;0973  
Venturada                                   ;2020/04/23 07:00:00;;70,82;;212,46;1697  
Navacerrada                                 ;2020/04/23 07:00:00;;107,6;15;538,02;0936  
Montejo de la Sierra                        ;2020/04/23 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/04/23 07:00:00;;83,26;14;1165,7;0571  
Pinilla del Valle                           ;2020/04/23 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/04/23 07:00:00;;116,96;;467,84;1599  
Navas del Rey                               ;2020/04/23 07:00:00;;67,93;46;1562,5;0992  
Olmeda de las Fuentes                       ;2020/04/23 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/04/23 07:00:00;;112,55;6;337,65;0284  
Becerril de la Sierra                       ;2020/04/23 07:00:00;8;138,6;28;485,1;0186  
Fuenlabrada                                 ;2020/04/23 07:00:00;185;90,68;1369;671,03;0587  
Garganta de los Montes                      ;2020/04/23 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/04/23 07:00:00;37;69,61;204;383,8;1132  
Alameda del Valle                           ;2020/04/23 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/04/23 07:00:00;;1315,79;;1315,79;0203  
Los Santos de la Humosa                     ;2020/04/23 07:00:00;;59,56;19;1131,63;1375  
El Álamo                                    ;2020/04/23 07:00:00;24;243,09;59;597,59;0040  
Pelayos de la Presa                         ;2020/04/23 07:00:00;;75,05;16;600,38;1090  
Galapagar                                   ;2020/04/23 07:00:00;79;238,17;207;624,06;0611  
Griñón                                      ;2020/04/23 07:00:00;16;138,58;77;666,9;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/23 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/04/23 07:00:00;9;298,41;41;1359,42;0088  
Carabaña                                    ;2020/04/23 07:00:00;;0;12;686,5;0357  
Talamanca de Jarama                         ;2020/04/23 07:00:00;;159,64;24;766,28;1454  
Chapinería                                  ;2020/04/23 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/04/23 07:00:00;26;101,3;172;670,15;0409  
Ajalvir                                     ;2020/04/23 07:00:00;;84,28;12;252,84;0029  
San Lorenzo de El Escorial                  ;2020/04/23 07:00:00;50;282,25;115;649,17;1317  
Gascones                                    ;2020/04/23 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/04/23 07:00:00;14;68,75;74;363,37;1322  
Móstoles                                    ;2020/04/23 07:00:00;384;175,71;1788;818,13;0920  
Leganés                                     ;2020/04/23 07:00:00;322;163,53;2712;1377,29;0745  
Braojos                                     ;2020/04/23 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/23 07:00:00;;72,14;21;378,72;0506  
Algete                                      ;2020/04/23 07:00:00;18;81,06;98;441,34;0091  
Mejorada del Campo                          ;2020/04/23 07:00:00;21;85,69;166;677,39;0843  
Loeches                                     ;2020/04/23 07:00:00;;43,28;48;692,54;0758  
