,Titularidad,Nombre,Dirección,CP,Municipio,Teléfono,Plazas,URL,Latitud,Longitud,Actualizado,Provincia,geometry
0,Privada,Residencia Ribera Alta,NA Caicedo - Sopeña 36,1420.0,Erriberagoitia/Ribera Alta,945 36 20 58 / 627 49 97 97 / 627 49 97 82,24.0,www.residenciariberaalta.com,42.785882,-2.916915,4-04-20 00:14:44,Álava,POINT (-2.916915 42.785882)
1,Pública provincial,Residencia pscogeriátrica Lakua,Calle Orio 2 - 4,1010.0,Vitoria-Gasteiz,945 17 82 27,50.0,,42.865083,-2.69311,10-04-20 00:14:44,Álava,POINT (-2.69311 42.865083)
2,Privada,Residencia Burgelu,Avenida Burgelu 24,1192.0,Elburgo/Burgelu,658 74 08 19 / 945 40 06 86,31.0,www.actiweb.es/burgelu/,42.849455999999996,-2.544482,4-04-20 00:14:44,Álava,POINT (-2.544482 42.849456)
3,Privada,Vivienda comunitaria Florida Etxea,Calle Manuel Iradier 33 - 1º,1005.0,Vitoria-Gasteiz,945 20 43 03,14.0,,42.841876,-2.668397,14-02-20 00:14:44,Álava,POINT (-2.668397 42.841876)
4,Privada,La Saleta Albertia,NA Miñano Mayor 23,1510.0,Vitoria-Gasteiz,945 12 44 25,91.0,www.albertiaetxea.com,42.917257,-2.64551,30-04-20 00:14:44,Álava,POINT (-2.64551 42.917257)
5,Privada,Residencia Albertia Centro,Calle Vicente Goicoechea 15,1008.0,Vitoria-Gasteiz,945 14 64 44,49.0,,42.847136,-2.676486,3-04-20 00:14:44,Álava,POINT (-2.676486 42.847136)
6,Privada,Vivienda comunitaria El Manantial,Calle Rubina 7,1230.0,Iruña Oka/Iruña de Oca,945 36 15 64,14.0,residenciaelmanantial.es,42.815496,-2.813187,5-04-20 00:14:44,Álava,POINT (-2.813187 42.815496)
7,Privada sin fin de lucro,Residencia Purísima Concepción,Calle Domingo de Sautu 7 - bajo,1130.0,Zuia,945 43 00 08 / 945 46 26 16,40.0,,42.956415,-2.8155919999999997,8-04-20 00:14:44,Álava,POINT (-2.815592 42.956415)
8,Privada,Vivienda comunitaria Avenida Etxea,Avenida Gasteiz 57 - 59 1º dcha.,1008.0,Vitoria-Gasteiz,945 00 99 44,14.0,,42.849034,-2.6815689999999996,18-04-20 00:14:44,Álava,POINT (-2.681569 42.849034)
9,Privada,Vivienda comunitaria Garaitia 1 y 2,Calle Pío XII 7 - 3º y 4º,1400.0,Laudio/Llodio,946 72 34 09 / 946 72 39 58,14.0,,43.142401,-2.962764,1-06-20 00:14:44,Álava,POINT (-2.962764 43.142401)
10,Privada sin fin de lucro,Residencia Juan Pablo I,Calle Portal de Lasarte 91,1007.0,Vitoria-Gasteiz,945 13 22 02,141.0,,42.829043,-2.690845,4-04-20 00:14:44,Álava,POINT (-2.690845 42.829043)
11,Privada,Residencia Yécora,Avenida Estíbaliz 7,1311.0,Yécora/Iekora,945 60 11 32 / 945 62 25 06,36.0,www.residenciayecora.org,42.567122,-2.468971,9-04-20 00:14:44,Álava,POINT (-2.468971 42.567122)
12,Privada,Vivienda comunitaria,Calle Nadine Gordimer 19,1003.0,Vitoria-Gasteiz,945 71 68 40,14.0,,42.846568,-2.644924,12-07-20 00:14:44,Álava,POINT (-2.644924 42.846568)
13,Privada,Vivienda comunitaria Carema Residencial,NA Junguitu 16 A,1192.0,Vitoria-Gasteiz,945 29 34 20,8.0,www.carema.es,42.871922,-2.596708,3-04-20 00:14:44,Álava,POINT (-2.596708 42.871922)
14,Privada,Residencia Lasarte Amets,Calle Mendia 20,1194.0,Vitoria-Gasteiz,945 33 84 07 / 630 62 52 03,19.0,,42.816595,-2.691847,6-02-20 00:14:44,Álava,POINT (-2.691847 42.816595)
15,Pública local,Vivienda comunitaria La Barbacana,Paseo de la Cigüeña s/n,1300.0,Laguardia,945 60 08 05,14.0,www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-laguardia,42.55135,-2.583855,27-03-20 00:14:44,Álava,POINT (-2.583855 42.55135)
16,Pública provincial,Residencia Nuestra Señora de las Viñas,Carretera de Moreda s/n,1320.0,Oyón-Oion,945 62 26 20,30.0,,42.506384000000004,-2.433136,9-04-20 00:14:44,Álava,POINT (-2.433136 42.506384)
17,Privada,Vivienda comunitaria Zirauntza,Calle Eduardo Dato 31 - 1º B-D,1005.0,Vitoria-Gasteiz,945 13 38 10 / 687 45 00 26,12.0,www.residenciazirauntza.com,42.843268,-2.672339,14-03-20 00:14:44,Álava,POINT (-2.672339 42.843268)
18,Privada,DomusVi Gazalbide,Calle Juana Jugán 1,1009.0,Vitoria-Gasteiz,945 22 30 11,150.0,,42.85495,-2.685212,18-07-20 00:14:44,Álava,POINT (-2.685212 42.85495)
19,Privada,Residencia Agure Salburua,Avenida Juan Carlos I 19 - A,1002.0,Vitoria-Gasteiz,945 00 16 62,14.0,,42.854929,-2.651871,5-06-20 00:14:44,Álava,POINT (-2.651871 42.854929)
20,Privada,Residencia Ascarza,Calle Ascartza 7,1193.0,Vitoria-Gasteiz,945 29 35 35,32.0,,42.840953000000006,-2.612413,6-02-20 00:14:44,Álava,POINT (-2.612413 42.84095300000001)
21,Pública provincial,Residencia Samaniego,Calle El Ochavo 37,1307.0,Samaniego,945 60 92 50,48.0,,42.569666999999995,-2.678415,9-04-20 00:14:44,Álava,POINT (-2.678415 42.569667)
22,Pública local,Vivienda comunitaria de Campezo,Calle Arrabal 5,1110.0,Campezo/Kanpezu,945 41 51 81,14.0,www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-campezo,42.693256,-2.395938,20-05-20 00:14:44,Álava,POINT (-2.395938 42.693256)
23,Privada,Residencia de 3ª edad Nuestra Señora de Okon,Carretera de Santa Cruz 57,1118.0,Bernedo,945 37 82 98,38.0,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-bernedo,42.62878,-2.4932540000000003,29-04-20 00:14:44,Álava,POINT (-2.493254 42.62878)
24,Privada,Residencia 3ª edad San Antonio,Calle Manuel Iradier 29 - 1º,1005.0,Vitoria-Gasteiz,945 14 81 25,14.0,,42.842082,-2.6704790000000003,7-07-20 00:14:44,Álava,POINT (-2.670479 42.842082)
25,Pública local,Apartamentos Beato Tomás de Zumárraga,Calle Beato Tomás de Zumárraga 1 - H,1008.0,Vitoria-Gasteiz,945 16 11 08,40.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.849447,-2.676192,6-07-20 00:14:44,Álava,POINT (-2.676192 42.849447)
26,Privada,Residencia Lorea Adurtza,Plaza de los Naipes 13 - 15,1006.0,Vitoria-Gasteiz,665 72 93 30 / 607 44 83 93,19.0,,42.838406,-2.663721,7-02-20 00:14:44,Álava,POINT (-2.663721 42.838406)
